방영일,회차,시청률,장르별순위
2024.8.30,636회,0.85%,"종합 29위, 기타 9위"
2024.8.23,635회,0.66%,"종합 37위, 기타 13위"
2024.8.16,634회,1.03%,"종합 27위, 기타 10위"
2024.8.9,633회,1.17%,"종합 24위, 기타 6위"
2024.8.2,632회,1.24%,"종합 19위, 기타 5위"
2024.7.26,631회,0.82%,"종합 29위, 기타 10위"
2024.7.19,630회,1.01%,"종합 27위, 기타 8위"
2024.7.12,629회,0.82%,"종합 32위, 기타 11위"
2024.7.5,628회,0.72%,"종합 35위, 기타 13위"
2024.6.28,627회,1.02%,"종합 29위, 기타 9위"
2024.6.21,626회,0.63%,"종합 39위, 기타 11위"
2024.6.14,625회,0.95%,"종합 27위, 기타 8위"
2024.6.7,624회,0.92%,"종합 26위, 기타 8위"
2024.5.31,623회,0.99%,"종합 24위, 기타 9위"
2024.5.24,622회,0.82%,"종합 31위, 기타 12위"
2024.5.17,621회,1.17%,"종합 24위, 기타 8위"
2024.5.10,620회,0.86%,"종합 27위, 기타 10위"
2024.5.3,619회,0.83%,"종합 31위, 기타 11위"
2024.4.26,618회,0.95%,"종합 25위, 기타 9위"
2024.4.19,617회,1.16%,"종합 24위, 기타 9위"
2024.4.12,616회,1.10%,"종합 27위, 기타 11위"
2024.4.5,615회,1.08%,"종합 28위, 기타 10위"
2024.3.29,614회,0.98%,"종합 28위, 기타 10위"
2024.3.22,613회,1.32%,"종합 24위, 기타 9위"
2024.3.15,612회,0.99%,"종합 29위, 기타 10위"
2024.3.8,611회,0.98%,"종합 31위, 기타 9위"
2024.3.1,610회,0.91%,"종합 39위, 기타 15위"
2024.2.23,609회,1.20%,"종합 26위, 기타 7위"
2024.2.16,608회,1.05%,"종합 26위, 기타 8위"
2024.2.9,607회,1.46%,"종합 20위, 기타 7위"
2024.2.2,606회,0.97%,"종합 29위, 기타 9위"
2024.1.26,605회,1.49%,"종합 23위, 기타 6위"
2024.1.19,604회,1.52%,"종합 26위, 기타 9위"
2024.1.12,603회,1.07%,"종합 27위, 기타 9위"
2024.1.5,602회,1.22%,"종합 26위, 기타 7위"
2023.12.29,601회,1.30%,"종합 25위, 기타 8위"
2023.12.22,600회,1.57%,"종합 24위, 기타 8위"
2023.12.15,599회,1.35%,"종합 25위, 기타 7위"
2023.12.8,598회,1.26%,"종합 25위, 기타 8위"
2023.12.1,597회,1.54%,"종합 24위, 기타 7위"
2023.11.24,596회,1.31%,"종합 22위, 기타 5위"
2023.11.17,595회,1.31%,"종합 25위, 기타 7위"
2023.11.10,594회,1.29%,"종합 24위, 기타 7위"
2023.11.3,593회,1.29%,"종합 23위, 기타 6위"
2023.10.27,592회,1.27%,"종합 22위, 기타 5위"
2023.10.20,591회,1.19%,"종합 26위, 기타 7위"
2023.10.13,590회,1.18%,"종합 22위, 기타 5위"
2023.10.6,589회,1.44%,"종합 18위, 기타 5위"
2023.9.29,588회,1.83%,"종합 8위, 기타 4위"
2023.9.22,587회,1.15%,"종합 26위, 기타 8위"
