방영일,회차,시청률,장르별순위
2024.9.5,651회,1.76%,종합 13위
2024.8.29,650회,3.30%,종합 3위
2024.8.22,649회,2.32%,종합 10위
2024.8.15,648회,2.64%,종합 4위
2024.8.8,647회,3.07%,종합 2위
2024.8.1,646회,2.39%,종합 11위
2024.7.25,645회,2.86%,종합 6위
2024.7.18,644회,2.43%,종합 10위
2024.7.11,643회,2.89%,종합 7위
2024.7.4,642회,2.47%,종합 9위
2024.6.27,641회,2.16%,종합 13위
2024.6.20,640회,2.87%,종합 6위
2024.6.13,639회,2.21%,종합 9위
2024.6.6,638회,2.87%,종합 2위
2024.5.30,637회,2.84%,종합 5위
2024.5.23,636회,1.96%,종합 10위
2024.5.16,635회,2.52%,종합 6위
2024.5.9,634회,2.18%,종합 6위
2024.5.2,633회,2.39%,종합 6위
2024.4.25,632회,2.66%,종합 5위
2024.4.18,631회,2.30%,종합 8위
2024.4.11,630회,2.01%,종합 14위
2024.4.4,629회,2.83%,종합 9위
2024.3.28,628회,2.55%,종합 11위
2024.3.21,627회,3.04%,종합 5위
2024.3.14,626회,3.08%,종합 6위
2024.3.7,625회,2.57%,종합 15위
2024.2.29,624회,2.48%,종합 17위
2024.2.22,623회,2.52%,종합 16위
2024.2.15,622회,2.48%,종합 17위
2024.2.8,621회,2.71%,종합 10위
2024.2.1,620회,3.15%,종합 9위
2024.1.25,619회,2.06%,종합 17위
2024.1.18,618회,2.78%,종합 13위
2024.1.11,617회,2.99%,종합 12위
2024.1.4,616회,3.15%,종합 11위
2023.12.28,615회,3.66%,종합 8위
2023.12.21,614회,3.16%,종합 10위
2023.12.14,613회,3.40%,종합 7위
2023.12.7,612회,2.94%,종합 10위
2023.11.30,611회,2.91%,종합 8위
2023.11.23,610회,3.03%,종합 8위
2023.11.16,609회,3.68%,종합 4위
2023.11.9,608회,3.08%,종합 8위
2023.11.2,607회,3.06%,종합 6위
2023.10.26,606회,2.87%,종합 8위
2023.10.19,605회,2.77%,종합 6위
2023.10.12,604회,3.51%,종합 4위
2023.10.5,603회,2.85%,종합 5위
2023.9.28,602회,2.11%,종합 11위
