start_time,program_name,channel,genre,category,avg_view
19:40,한국인의밥상,KBS1,음식,시사/교양,4.7
20:30,수지맞은우리,KBS1,일일드라마,드라마,13.8
21:00,뉴스9,KBS1,뉴스,뉴스,7.2
22:00,다큐인사이트,KBS1,정보,시사/교양,3.4
22:50,뉴스라인w,KBS1,심층뉴스,뉴스,1.8
19:50,스캔들,KBS2,일일드라마,드라마,8.5
20:30,박원숙의같이삽시다,KBS2,리얼리티,예능,3.6
21:50,완벽한가족,KBS2,미스터리드라마,드라마,2.6
23:00,아이러브스포츠,KBS2,스포츠,스포츠,0.6
19:40,뉴스데스크,MBC,뉴스,뉴스,5.6
21:00,실화탐사대,MBC,탐사,시사/교양,4
22:00,구해줘홈즈,MBC,정보,예능,3
19:50,SBS8뉴스,SBS,뉴스,뉴스,4.3
21:00,과몰입인생사,SBS,역사,교양,3.1
22:20,꼬리에꼬리를무는그날이야기,SBS,정보,예능,3
19:50,사건반장,JTBC,시사정보,시사/교양,3.2
20:50,끝사랑,JTBC,연애,예능,2.1
22:00,이혼숙려캠프,JTBC,리얼리티,예능,2.7
20:10,알약방,MBN,건강,시사/교양,0.7
21:10,특종세상,MBN,탐사,시사/교양,2.6
22:20,돌싱글즈,MBN,연애,예능,1.9
20:00,질병의법칙,TV조선,건강,시사/교양,0.4
21:00,TVCHOSUN뉴스9,TV조선,뉴스,뉴스,2.8
22:00,미스쓰리랑,TV조선,트로트,예능,4
20:10,오은영의금쪽상담소,채널A,심리상담,시사/교양,1.3
21:30,아빠는꽃중년,채널A,가족,예능,1.8
20:40,언니네산지직송,tvN,리얼리티,예능,4.6
