rank,name,channel,category,day,time
1,미스트롯,TV조선,예능,목,2200
2,고려거란전쟁,KBS2,드라마,토일,2115
3,나혼자산다,MBC,예능,금,2310
4,내남편과결혼해줘,tvN,드라마,월화,2050
5,웰컴투삼달리,tvN,예능,토일,2230
6,태어난김에세계일주,MBC,예능,일,2110
7,우당탕탕패밀리,KBS1,드라마,월화수목금,2030
8,효심이네각자도생,KBS2,드라마,토일,1955
9,벌거벗은세계사,tvN,예능,화,2210
10,우아한제국,KBS2,드라마,월화수목금,1950
1,미스트롯,TV조선,예능,목,2200
2,내남편과결혼해줘,tvN,드라마,월화,2050
3,고려거란전쟁,KBS2,드라마,토일,2115
4,효심이네각자도생,KBS2,드라마,토일,1955
5,유퀴즈온더블럭,tvN,예능,수,2045
6,현역가왕,MBN,예능,화,2110
7,밤에피는꽃,MBC,드라마,금토,2150
8,런닝맨,SBS,예능,일,1810
9,나는솔로,SBSPLUS,예능,수,2230
10,우당탕탕패밀리,KBS1,드라마,월화수목금,2030
1,눈물의여왕,tvN,드라마,토일,2110
2,미스트롯,TV조선,예능,목,2200
3,나혼자산다,MBC,예능,금,2310
4,고려거란전쟁,KBS2,드라마,토일,2115
5,나는자연인이다,MBN,시사교양,수,2110
6,현역가왕,MBN,예능,화,2110
7,미운우리새끼,SBS,예능,일,2105
8,유퀴즈온더블럭,tvN,예능,수,2045
9,우당탕탕패밀리,KBS1,드라마,월화수목금,2030
10,나는솔로,SBSPLUS,예능,수,2230
1,눈물의여왕,tvN,드라마,토일,2110
2,런닝맨,SBS,예능,일,1810
3,나혼자산다,MBC,예능,금,2310
4,유퀴즈온더블럭,tvN,예능,수,2045
5,수사반장1958,MBC,드라마,금토,2150
6,나는자연인이다,MBN,시사교양,수,2110
7,불타는장미단,MBN,예능,월,2130
8,미녀와순정남,KBS2,드라마,토일,1955
9,미운우리새끼,SBS,예능,일,2105
10,한일가왕전,MBN,예능,화,2200
1,눈물의여왕,tvN,드라마,토일,2110
2,미녀와순정남,KBS2,드라마,토일,1955
3,나혼자산다,MBC,예능,금,2310
4,선재업고튀어,tvN,드라마,월화,2050
5,수지맞은우리,KBS1,드라마,월화수목금,2030
6,유퀴즈온더블럭,tvN,예능,수,2045
7,런닝맨,SBS,예능,일,1810
8,수사반장1958,MBC,드라마,금토,2150
9,최강야구,JTBC,예능,월,2230
10,미운우리새끼,SBS,예능,일,2105
1,나혼자산다,MBC,예능,금,2310
2,미녀와순정남,KBS2,드라마,토일,1955
3,커넥션,SBS,드라마,금토,2200
4,미운우리새끼,SBS,예능,일,2105
5,나는자연인이다,MBN,시사교양,수,2110
6,런닝맨,SBS,예능,일,1810
7,미스터로또,TV조선,예능,금,2200
8,지락이의뛰뛰빵빵,tvN,예능,금,2040
9,수지맞은우리,KBS1,드라마,월화수목금,2030
10,유퀴즈온더블럭,tvN,예능,수,2045
1,나혼자산다,MBC,예능,금토,2310
2,미녀와순정남,KBS2,드라마,토일,1955
3,수지맞은우리,KBS1,드라마,월화수목금,2030
4,런닝맨,SBS,예능,일,1810
5,낮과밤이다른그녀,JTBC,드라마,토일,2230
6,돌풍,NETFLIX,웹드라마,null,null
7,서진이네,tvN,예능,금,2050
8,나는자연인이다,MBN,시사교양,수,2110
9,최강야구,JTBC,예능,월,2230
10,나는솔로,SBSPLUS,예능,수,2230
1,굿파트너,SBS,드라마,금토,2200
2,나혼자산다,MBC,예능,금,2310
3,미녀와순정남,KBS,드라마,토일,1955
4,수지맞은우리,KBS,드라마,월화수목금,2030
5,유퀴즈온더블럭,tvN,예능,수,2045
6,1박2일,KBS,예능,일,1810
7,나는자연인이다,MBN,시사/교양,수,2110
8,런닝맨,SBS,예능,일,1810
9,나는솔로,SBSPLUS,예능,수,2230
10,미운우리새끼,SBS,예능,일,2105
